key,accent,file,text_raw,text_normalised,wrong_language_output,dominant_script,non_latin_share,wer,substitutions,deletions,insertions,hits,ref_words,hyp_words
arabic/arabic10.mp3,arabic,audio/arabic/arabic10.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, can scoop these things into three red bags and we will go meet her wednesday at the train station",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.43478260869565216,0,30,0,39,69,39
english_uk/english11.mp3,english_uk,audio/english_uk/english11.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags. We will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags we will go meet her wednesday at the train station,False,latin,0.0,0.014492753623188406,0,1,0,68,69,68
english_us/english104.mp3,english_us,audio/english_us/english104.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.0,0,0,0,69,69,69
hindi/hindi1.mp3,hindi,audio/hindi/hindi1.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.0,0,0,0,69,69,69
pakistani/english519.mp3,pakistani,audio/pakistani/english519.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. Can she scoop these things into three red bags and we will go to meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids can she scoop these things into three red bags and we will go to meet her wednesday at the train station,False,latin,0.0,0.043478260869565216,0,1,2,68,69,70
arabic/arabic15.mp3,arabic,audio/arabic/arabic15.mp3,اسأل ستيلا أن تأخذ هذه الأشياء معها إلى المنزل. من المنزل. ستة سطرات من السنوبيس الصغيرة. خمسة سطرات من البيض الأخضر. وربما سمك باب أخيها. نحتاج أيضًا إلى سمك بلاستيكي صغير. وزجاج كبير للأطفال يستطيع أن تسكب هذه الأشياء في ثلاثة بطاقات رائعة وسنلتقي بها في رمضان في محطة الطرين,اسأل ستيلا أن تأخذ هذه الأشياء معها إلى المنزل من المنزل ستة سطرات من السنوبيس الصغيرة خمسة سطرات من البيض الأخضر وربما سمك باب أخيها نحتاج أيض ا إلى سمك بلاستيكي صغير وزجاج كبير للأطفال يستطيع أن تسكب هذه الأشياء في ثلاثة بطاقات رائعة وسنلتقي بها في رمضان في محطة الطرين,True,arabic,1.0,1.0,51,18,0,0,69,51
english_uk/english12.mp3,english_uk,audio/english_uk/english12.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go and meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go and meet her wednesday at the train station,False,latin,0.0,0.014492753623188406,0,0,1,69,69,70
english_us/english162.mp3,english_us,audio/english_us/english162.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.0,0,0,0,69,69,69
hindi/hindi10.mp3,hindi,audio/hindi/hindi10.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.0,0,0,0,69,69,69
pakistani/french61.mp3,pakistani,audio/pakistani/french61.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",please call stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her wednesday at the train station,False,latin,0.0,0.0,0,0,0,69,69,69
